class,linguistic pattern,predicate
http://dbpedia.org/ontology/Skier,überwiegend,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,Deutsche,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,überwiegend,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,mehrfach,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,ehemaligen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,kanadischen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,Deutscher,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,weltweit,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,jüngerer,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,dreifache,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,aktiv,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,russische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,kanadischen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,beste,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,jüngerer,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,französischen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,weltweit,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,Österreichische,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,mehrfach,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,tätig,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,heutiger,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,kanadische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,weltweit,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,jüngerer,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,heutiger,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,heutiger,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,schwedische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,verheiratete,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,aktiven,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,platzieren,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,aktiven,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,platzieren,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,ehemaligen,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,russische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,Deutsche,http://dbpedia.org/ontology/deathPlace
http://dbpedia.org/ontology/Skier,einzige,http://dbpedia.org/ontology/country
