LemonEntry,partOfSpeech,writtenFormInfinitive,writtenForm3rdPresent,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition
bedeuten,verb,bedeuten,bedeutet,bedeutete,bedeutet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
erzeugen,verb,erzeugen,erzeugt,erzeugte,erzeugt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
zerstören,verb,zerstören,zerstört,zerstörte,zerstört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
beweisen,verb,beweisen,beweist,bewies,bewiesen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
kommen,verb,kommen,kommt,kam,gekommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
schließen,verb,schließen,schließt,schloss,geschlossen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
entwickeln,verb,entwickeln,entwickelt,entwickelte,entwickelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
publizieren,verb,publizieren,publiziert,publizierte,publiziert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
regeln,verb,regeln,regelst,regelt,regelte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
ausführen,verb,ausführen,führt aus,führte aus,ausgeführt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
erwähnen,verb,erwähnen,erwähnt,erwähnte,erwähnt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
besetzen,verb,besetzen,besetzt,besetzte,besetzt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
formulieren,verb,formulieren,formuliert,formulierte,formuliert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
auflösen,verb,auflösen,löst auf,löste auf,aufgelöst,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
aktualisieren,verb,aktualisieren,aktualisiert,aktualisierte,aktualisiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
unterstützen,verb,unterstützen,unterstützt,unterstützte,unterstützt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
