LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPerfect,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range
zählen,verb,zählen,zählt,zählte,gezählt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/Currency
hören,verb,hören,hört,hörte,gehört,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/Currency
gelten,verb,gelten,gilt,galt,gegolten,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/currency,http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/Currency
hören,verb,hören,hört,hörte,gehört,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/architect,http://dbpedia.org/ontology/Bridge,http://dbpedia.org/ontology/Person
heiraten,verb,heiraten,heiratet,heiratete,geheiratet,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/deathDate,http://dbpedia.org/ontology/Person,xsd:date
heiraten,verb,heiraten,heiratet,heiratete,geheiratet,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
verkörpern,verb,verkörpern,verkörpert,verkörperte,verkörperte,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person
bestehen,verb,bestehen,besteht,bestand,bestanden,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person
arbeiten,verb,arbeiten,arbeitet,arbeitete,gearbeitet,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person
strahlen,verb,strahlen,strahlt,strahlte,gestrahlt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/writer,http://dbpedia.org/ontology/Song,http://dbpedia.org/ontology/Person
gewinnen,verb,gewinnen,gewinnt,gewann,gewonnen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award
zählen,verb,zählen,zählt,zählte,gezählt,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award
schlagen,verb,schlagen,schlägt,schlug,geschlagen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Place
hören,verb,hören,hört,hörte,gehört,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/award,http://dbpedia.org/ontology/Scientist,http://dbpedia.org/ontology/Award
schlagen,verb,schlagen,schlägt,schlug,geschlagen,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/country,http://dbpedia.org/ontology/Lake,http://dbpedia.org/ontology/Country
verkörpern,verb,verkörpern,verkörpert,verkörperte,verkörperte,durch,IntransitivePPFrame,domain,range,1,http://dbpedia.org/ontology/director,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person
